Date,HS Code ,Product Name,Quantity,Unit,Unit Price (USD),CIF Value (USD),Importer Name,Supplier Name,Foreign Country
14-Mar-22,85030090,"GEARBOX 50HZ NGC RATIO 89.94 6P
(NON CASTING COMPONENTS 126550 KGS) (PARTS OF W.O.E.GENERATOR FOR MFG OF W.O.E.GENERATOR",10,NOS,124612.459,1246124.593,SUZLON ENERGY LTD,"NANJING HIGH SPEED GEAR
MANUFACTURING CO LTD",CHINA
11-May-21,85030090,GEAR BOX 50HZ NGC RATIO 90.125 ( QTY.20 SET) (PARTS FOR MANUFACTURE OF WIND OPERATED ELECTRICITY GENERATORS),20,SQM,88450.604,1769012.08,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,CHINA
20-Oct-21,85030090,"GEAR BOX 50HZ NGC RATIO 90.125 (NET WT.31356 KGS)(NON CASTING COMPONETS ) (PARTS FOR
MANUFACTURE OF WIND OPERATED
ELECTR",3,SET,84642.055,253926.165,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,ECUADOR
20-Oct-21,85030090,"GEAR BOX 50HZ NGC RATIO 90.125 (NET
WT.31356 KGS)(NON CASTING COMPONETS
) (PARTS FOR MANUFACTURE OF WIND OPERATED ELECTR",3,SET,84642.055,253926.165,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,GERMANY
14-Jan-22,85030090,"CONVERTER WIND POWER 12X
WF1000-06L0270-CPH-A DOUBLY-FED LIQUID-COOLING P/N: 01100227
(PARTS OF WIND OPERATED ELECTRICI",3,NOS,36300.356,108901.069,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,CHINA
25-Feb-21,76169990,E/AL-NS 35 ACCESSORIES (1201662) (PARTS OF W O E G),400,PCS,0.823,329.389,SUZLON ENERGY LTD,PHOENIX CONTACT GMBH AND CO KG,GERMANY
29-Sep-23,85044029,"ZT-2551 CR RS-485/RS-232 TO ZIGBEE CONVERTER MODULE (PARTSOF
WIND OPERATED ELECTRICITY
GENERATORS FOR MANF. OF WOEGS)",25,KGS,153.197,3829.914,SUZLON ENERGY LTD,ICP DAS CO LTD,TAIWAN
14-Jan-22,85030090,"CONVERTER WIND POWER 12X
WF1000-06L0270-CPH-A DOUBLY-FED LIQUID-COOLING P/N: 01100227
(PARTS OF WIND OPERATED ELECTRICI",3,NOS,36300.356,108901.069,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,GERMANY
14-Jan-22,85030090,"CONVERTER WIND POWER 12X
WF1000-06L0270-CPH-A DOUBLY-FED LIQUID-COOLING P/N: 01100227
(PARTS OF WIND OPERATED ELECTRICI",3,NOS,36248.31,108744.929,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,CHINA
14-Jan-22,85030090,"CONVERTER WIND POWER 12X
WF1000-06L0270-CPH-A DOUBLY-FED LIQUID-COOLING P/N: 01100227
(PARTS OF WIND OPERATED ELECTRICI",3,NOS,36248.31,108744.929,SUZLON ENERGY LTD,VERTIV NEW ENERGY CO LTD,GERMANY
